Date,Close,Daily_Return,Pred_Action,Cum_Buy_Hold,Cum_Strategy
2024-01-01,75.0,0.0,HOLD,0.0,0.0
2024-01-02,75.18838555993538,0.002511807465805,HOLD,0.002511807465805,0.0
2024-01-03,75.6461787722333,0.0060886160660145,HOLD,0.0086157169631106,0.0
2024-01-04,75.68165989826126,0.0004690405596665,HOLD,0.0090887986434835,0.0
2024-01-05,76.21659747478851,0.0070682590372141,HOLD,0.0162212996638468,0.0
2024-01-08,76.03203675969345,-0.0024215291840613,HOLD,0.013760490129246,0.0
2024-01-09,76.77453832628906,0.0097656408829656,HOLD,0.0236605110171874,0.0
2024-01-10,76.55395696876103,-0.0028731056198679,HOLD,0.0207194262501471,0.0
2024-01-11,76.5590882596056,6.702842083883276e-05,HOLD,0.0207878434614081,0.0
2024-01-12,76.02849289116907,-0.0069305340554387,HOLD,0.0137132385489209,0.0
2024-01-15,76.24519782313807,0.0028503120833818,HOLD,0.0166026376418411,0.0
2024-01-16,76.40368621576918,0.0020786672099499,HOLD,0.0187158162102558,0.0
2024-01-17,76.81318914123614,0.0053597273344965,HOLD,0.0241758552164819,0.0
2024-01-18,76.31394937599869,-0.0064994016108288,HOLD,0.0175193250133158,0.0
2024-01-19,76.57939385439366,0.0034783218607534,SELL,0.0210585847252489,0.0
2024-01-22,76.4266522367326,-0.0019945524503821,SELL,0.0190220298231014,0.0
2024-01-23,76.51705381420354,0.0011828540806801,SELL,0.0202273841893807,0.0
2024-01-24,76.3265229811648,-0.002490044029941,SELL,0.0176869730821975,0.0
2024-01-25,74.6106693330217,-0.0224804377446424,SELL,-0.0051910755597104,0.0
2024-01-26,72.22687301840477,-0.0319498047119367,SELL,-0.0369750264212694,0.0
2024-01-29,70.28740678243264,-0.0268524187040178,SELL,-0.0628345762342312,0.0
2024-01-30,69.0750112944807,-0.0172491139373626,SELL,-0.0789998494069237,0.0
2024-01-31,67.52116264045205,-0.0224950908426824,HOLD,-0.0997178314606391,0.0
2024-02-01,67.77040168028577,0.0036912729296578,HOLD,-0.0963946442628561,0.0
2024-02-02,67.85017559936945,0.0011771203520383,HOLD,-0.0953309920084071,0.0
2024-02-05,67.71806218761539,-0.0019471344117684,HOLD,-0.0970925041651279,0.0
2024-02-06,67.83413030153086,0.0017139904800274,HOLD,-0.0955449293129215,0.0
2024-02-07,67.93262173827335,0.001451945153637,HOLD,-0.094231710156355,0.0
2024-02-08,67.94462679916558,0.0001767201174491,HOLD,-0.0940716426777921,0.0
2024-02-09,67.46521084890357,-0.0070559803305578,HOLD,-0.1004638553479522,0.0
2024-02-12,67.5570125539147,0.0013607265708652,HOLD,-0.0992398326144704,0.0
2024-02-13,67.88548889225098,0.0048622093535313,HOLD,-0.0948601481033201,0.0
2024-02-14,67.79295960750292,-0.0013630200836428,HOLD,-0.0960938718999607,0.0
2024-02-15,67.80347951679013,0.0001551770176153,HOLD,-0.0959536064427979,0.0
2024-02-16,67.66957381741975,-0.0019749089622639,HOLD,-0.0977390157677364,0.0
2024-02-19,67.98747842930757,0.0046978958777776,HOLD,-0.0935002876092321,0.0
2024-02-20,67.94187937517661,-0.0006706978282533,HOLD,-0.0941082749976448,0.0
2024-02-21,67.99732504321425,0.0008160749827283,HOLD,-0.0933689994238097,0.0
2024-02-22,67.55824748574776,-0.006457276917694,HOLD,-0.0992233668566962,0.0
2024-02-23,67.51069675650965,-0.0007038478795374,HOLD,-0.099857376579871,0.0
2024-02-26,67.67279209076733,0.0024010318667324,HOLD,-0.0976961054564351,0.0
2024-02-27,67.44223421607639,-0.0034069508227427,HOLD,-0.1007702104523143,0.0
2024-02-28,67.40306624900681,-0.0005807631897852,HOLD,-0.101292450013242,0.0
2024-02-29,67.27484100495586,-0.0019023651472657,HOLD,-0.1030021199339213,0.0
2024-03-01,67.10607246459442,-0.0025086427234961,HOLD,-0.1052523671387406,0.0
2024-03-04,66.99788759977508,-0.0016121471700852,HOLD,-0.1066948320029984,0.0
2024-03-05,66.73040369980384,-0.0039924228890484,HOLD,-0.1102612840026149,0.0
2024-03-06,66.94465554508442,0.0032107080641143,HOLD,-0.1074045927322073,0.0
2024-03-07,66.75119900561238,-0.0028897981160236,HOLD,-0.1099840132585011,0.0
2024-03-08,67.20668492000434,0.0068236364466451,HOLD,-0.1039108677332749,0.0
2024-03-11,67.62107395317767,0.0061658900995724,HOLD,-0.098385680624297,0.0
2024-03-12,68.00066215697586,0.0056134601479567,HOLD,-0.0933245045736544,0.0
2024-03-13,68.4577098680819,0.0067212244205943,HOLD,-0.0872305350922405,0.0
2024-03-14,68.44638818094057,-0.0001653822069588,HOLD,-0.0873814909207916,0.0
2024-03-15,68.44450446527868,-2.7521038172384493e-05,HOLD,-0.0874066071296167,0.0
2024-03-18,68.7451455011821,0.0043924788155333,HOLD,-0.0833980599842378,0.0
2024-03-19,68.7175649964344,-0.000401199307189,HOLD,-0.0837658000475404,0.0
2024-03-20,68.25693966090145,-0.0067031673132895,HOLD,-0.0899074711879798,0.0
2024-03-21,67.89991995285267,-0.0052305261534203,HOLD,-0.0946677339619636,0.0
2024-03-22,67.6628203971571,-0.0034918974258025,HOLD,-0.0978290613712378,0.0
2024-03-25,68.20121744779934,0.0079570589502777,HOLD,-0.0906504340293413,0.0
2024-03-26,68.00990988073225,-0.0028050462180313,HOLD,-0.0932012015902358,0.0
2024-03-27,67.78415072561324,-0.0033195038122373,HOLD,-0.0962113236584892,0.0
2024-03-28,68.08744791912929,0.0044744559055371,HOLD,-0.0921673610782753,0.0
2024-03-29,68.21339987329402,0.0018498557078292,HOLD,-0.0904880016894124,0.0
2024-04-01,68.88790697588679,0.0098881906464955,HOLD,-0.0814945736548421,0.0
2024-04-02,68.59890846819965,-0.0041951994243096,HOLD,-0.0853478870906706,0.0
2024-04-03,68.62620135396656,0.0003978618082467,HOLD,-0.0849839819471118,0.0
2024-04-04,68.4476189646171,-0.0026022479144423,HOLD,-0.0873650804717712,0.0
2024-04-05,68.45018457082215,3.748276775517034e-05,HOLD,-0.0873308723890373,0.0
2024-04-08,68.36937909903884,-0.0011805004221676,HOLD,-0.0884082786794815,0.0
2024-04-09,67.99975336046217,-0.0054063053291918,HOLD,-0.0933366218605038,0.0
2024-04-10,67.71531742756363,-0.0041828965377382,HOLD,-0.0971291009658176,0.0
2024-04-11,67.36604623656099,-0.0051579347815398,HOLD,-0.1017860501791861,0.0
2024-04-12,67.66318896536028,0.0044108678688941,HOLD,-0.097824147128529,0.0
2024-04-15,67.19867544239462,-0.0068650846947734,HOLD,-0.1040176607680711,0.0
2024-04-16,67.66453794362602,0.0069326143434294,SELL,-0.0978061607516525,0.0
2024-04-17,67.39732654591282,-0.0039490611453789,HOLD,-0.1013689793878284,0.0
2024-04-18,67.62997628371731,0.0034519134471306,HOLD,-0.0982669828837684,0.0
2024-04-19,67.26124354822808,-0.0054522085582633,HOLD,-0.1031834193569581,0.0
2024-04-22,67.29260161646535,0.0004662130312054,HOLD,-0.1027653117804613,0.0
2024-04-23,67.87425749203204,0.0086436823899578,HOLD,-0.0950099001062387,0.0
2024-04-24,67.64911621359482,-0.003317034863529,HOLD,-0.0980117838187351,0.0
2024-04-25,66.84804014907347,-0.0118416338506484,HOLD,-0.1086927980123531,0.0
2024-04-26,66.74586310474852,-0.0015284972318873,HOLD,-0.1100551586033524,0.0
2024-04-29,66.60417033892175,-0.0021228696317014,HOLD,-0.1119443954810428,0.0
2024-04-30,66.71895303089264,0.0017233559308194,HOLD,-0.1104139595880977,0.0
2024-05-01,66.79024241765326,0.0010685027795267,HOLD,-0.1094634344312894,0.0
2024-05-02,66.90369943922116,0.0016987065394735,HOLD,-0.1079506741437176,0.0
2024-05-03,67.46748603411858,0.0084268373740616,HOLD,-0.1004335195450853,0.0
2024-05-06,67.23047965902418,-0.0035128976789581,HOLD,-0.103593604546344,0.0
2024-05-07,67.09358758896623,-0.0020361608418121,HOLD,-0.1054188321471166,0.0
2024-05-08,67.1401046806649,0.0006933165056495,HOLD,-0.104798604257801,0.0
2024-05-09,67.09921342939528,-0.0006090436031358,HOLD,-0.1053438209413961,0.0
2024-05-10,67.35143158395987,0.0037588839223872,HOLD,-0.1019809122138684,0.0
2024-05-13,67.27221090192269,-0.0011762286290591,HOLD,-0.1030371879743641,0.0
2024-05-14,67.54742152801369,0.0040910001678438,HOLD,-0.0993677129598176,0.0
2024-05-15,67.49540141334312,-0.0007701273193528,HOLD,-0.1000613144887585,0.0
2024-05-16,67.66621861823091,0.0025307976737809,HOLD,-0.0977837517569212,0.0
2024-05-17,67.7262019385717,0.000886458879566,SELL,-0.0969839741523773,0.0
2024-05-20,67.63741416325085,-0.0013109811679884,HOLD,-0.0981678111566554,0.0
2024-05-21,67.45770477053817,-0.00265695244172,HOLD,-0.1005639363928244,0.0
2024-05-22,67.46334203710666,8.356742328641253e-05,HOLD,-0.1004887728385779,0.0
2024-05-23,67.30991893681458,-0.0022741698774377,HOLD,-0.1025344141758055,0.0
2024-05-24,66.84837603040887,-0.006856982056968,HOLD,-0.1086883195945483,0.0
2024-05-27,66.80369002251491,-0.0006684681146723,HOLD,-0.1092841330331344,0.0
2024-05-28,66.63387429739969,-0.0025420111532461,HOLD,-0.1115483427013375,0.0
2024-05-29,66.13132264745958,-0.0075419845422332,HOLD,-0.1182490313672055,0.0
2024-05-30,66.21010701241468,0.0011913320617384,HOLD,-0.1171985731678043,0.0
2024-05-31,65.97337279171,-0.0035754997444769,HOLD,-0.1203550294438666,0.0
2024-06-03,66.07690189658027,0.0015692559056685,HOLD,-0.1189746413789297,0.0
2024-06-04,66.68971256150563,0.0092742039553321,HOLD,-0.1108038325132583,0.0
2024-06-05,66.22290577827758,-0.0069996820393779,HOLD,-0.1170279229562989,0.0
2024-06-06,65.90012524474177,-0.0048741523758639,HOLD,-0.121331663403443,0.0
2024-06-07,65.71946346344038,-0.0027414482238151,HOLD,-0.1237404871541283,0.0
2024-06-10,66.08412514104879,0.0055487622447081,HOLD,-0.1188783314526827,0.0
2024-06-11,65.93647549239586,-0.0022342680384704,HOLD,-0.1208469934347218,0.0
2024-06-12,66.03010035426706,0.001419925180593,HOLD,-0.1195986619431056,0.0
2024-06-13,66.35725025285726,0.0049545570404248,HOLD,-0.1152366632952364,0.0
2024-06-14,66.41646842385934,0.0008924144803534,HOLD,-0.1144470876818751,0.0
2024-06-17,66.31607213653386,-0.0015116173700289,HOLD,-0.1157857048462149,0.0
2024-06-18,66.90068392013954,0.008815536939553,HOLD,-0.1079908810648059,0.0
2024-06-19,67.15719862424237,0.0038342613120223,HOLD,-0.1045706850101015,0.0
2024-06-20,67.00775827927737,-0.0022252319636074,HOLD,-0.1065632229429682,0.0
2024-06-21,67.11192817048544,0.0015545944810437,HOLD,-0.1051742910601938,0.0
2024-06-24,67.3951861677274,0.0042206803613569,HOLD,-0.1013975177636342,0.0
2024-06-25,67.3009472729797,-0.0013983030555501,HOLD,-0.1026540363602702,0.0
2024-06-26,67.4779678188574,0.0026302831245403,HOLD,-0.1002937624152342,0.0
2024-06-27,66.9045643298347,-0.0084976401565912,HOLD,-0.1079391422688702,0.0
2024-06-28,66.92008629876352,0.0002320016441972,HOLD,-0.1077321826831526,0.0
2024-07-01,66.80981702079,-0.0016477754897269,HOLD,-0.1092024397227995,0.0
2024-07-02,66.46242496275714,-0.0051997157532217,HOLD,-0.1138343338299043,0.0
2024-07-03,66.42727763738651,-0.0005288300177178,HOLD,-0.114302964834846,0.0
2024-07-04,66.53404940254049,0.0016073482001901,HOLD,-0.1128793412994595,0.0
2024-07-05,66.83478243199917,0.0045199868662615,HOLD,-0.1088695675733437,0.0
2024-07-08,66.94988885851046,0.0017222533286227,HOLD,-0.1073348152198598,0.0
2024-07-09,66.93152664780524,-0.0002742679789061,HOLD,-0.1075796446959294,0.0
2024-07-10,67.04333343322165,0.001670465190563,HOLD,-0.106088887557044,0.0
2024-07-11,66.88324700635954,-0.0023878052994121,HOLD,-0.1082233732485388,0.0
