Date,Close,Open,High,Low,Volume
2024-01-01,100.0,100.42807965584193,101.27136123489686,99.3886940220383,1585123.0
2024-01-02,100.06509473407831,100.11023616287862,100.33702467345337,99.9816694526079,4593231.0
2024-01-03,99.4132367991865,101.21724141797038,101.33018116676476,99.21521274667883,2001869.0
2024-01-04,98.29110654905611,99.6998232026016,100.1533580538286,97.26753201782455,969399.0
2024-01-05,98.85199516863896,98.18031101970585,99.74533127493623,97.44716679649785,3253564.0
2024-01-08,98.28045196569855,98.8978153294461,100.08108991383706,97.90187992179155,1037091.0
2024-01-09,99.16860944410962,97.58456263838448,99.28234784444518,96.9515667999452,1379311.0
2024-01-10,99.66340111554628,99.92635277627352,100.77309639727345,98.84567274987813,3438561.0
2024-01-11,99.97330598406141,100.07880672352526,100.82619966463915,98.90792091282266,3175286.0
2024-01-12,99.98751986671188,98.80867591600594,100.27620537941787,97.82479153720008,4924918.0
2024-01-15,100.16368631346741,100.92453429536366,101.37313389887115,100.12718598063597,2865098.0
2024-01-16,100.02947728382404,100.98572736820744,100.99641166412489,99.30762666195312,3714462.0
2024-01-17,100.47038810780433,100.55329624444667,101.94276999218553,100.1470060877967,2959031.0
2024-01-18,100.75399364279137,101.42647237330927,101.6665572575413,100.68254240094427,730019.0
2024-01-19,100.85921227877327,100.23534408249233,101.00526747382354,99.80598109156557,1966845.0
2024-01-22,100.71829984933923,100.98234822346299,101.93355870540962,100.64687169788547,2143669.0
2024-01-23,100.93853987418902,100.71778534392358,101.12200583927671,100.3569484293642,2205316.0
2024-01-24,100.98221278776134,101.22143079584166,102.30821236419253,100.61539851448214,4874422.0
2024-01-25,100.79966314012265,100.89040825007348,101.61705996525576,100.25703021868331,3645729.0
2024-01-26,101.1760997328686,100.99075868776879,101.60426175062376,100.02360267087982,1524376.0
2024-01-29,101.0748608128226,101.52418743734857,101.58466128646835,100.15237251743903,2827600.0
2024-01-30,100.65586411344351,100.61494988806233,100.67054523999715,99.07111020592284,4192530.0
2024-01-31,100.84773267669556,101.11996296480747,101.40398759380963,100.7393678166285,4895487.0
2024-02-01,100.99759207585505,101.22598780959906,101.50679343758705,100.96634756138789,4141857.0
2024-02-02,101.71611765767912,100.14741764994045,102.28651094217027,99.76157268959851,362889.0
2024-02-05,101.67190976997604,101.91180765357866,102.65737853142001,100.04841099324746,1839853.0
2024-02-06,101.48713661754948,101.60094822556499,102.72028091317561,101.39780911015635,3216037.0
2024-02-07,101.45516922196418,100.97039469292062,101.60004701252986,100.92979292347476,2179255.0
2024-02-08,101.76438628887915,102.0709945795142,102.3886576917143,101.72568753542674,4487007.0
2024-02-09,101.46188005842569,102.84521734932146,103.24222844676412,100.95903949033169,2729019.0
2024-02-12,101.6827167214034,102.12164019740004,103.27968087092641,100.69141465094549,1779023.0
2024-02-13,101.55901761379741,101.80910339285049,102.17661194866281,100.52991474209685,320172.0
2024-02-14,101.65728026108835,102.82781678483137,103.14950284942584,100.68693132376282,4820225.0
2024-02-15,102.61339519190221,102.01113913640357,103.94118592953483,101.38737071534104,796720.0
2024-02-16,103.38601573173663,103.05085066228187,103.50059987786763,102.89167734114355,402527.0
2024-02-19,103.81377841648693,103.30784978890358,104.65905431619322,103.274308455175,3540960.0
2024-02-20,103.54559409271081,103.40705751613864,105.48870904090437,103.10795560288291,911438.0
2024-02-21,103.19478354133707,102.74200055076761,103.52926611912171,101.90399512936033,4472060.0
2024-02-22,102.45014745703949,103.28571148341071,103.81665860153707,100.8321027227485,3207116.0
2024-02-23,101.85953973326134,103.11856674920963,103.91144150374507,100.50425863092454,2051337.0
2024-02-26,101.98503228425035,101.0859062456783,102.73641642795825,99.82063775612569,1167820.0
2024-02-27,101.8649221687311,102.15532853828051,103.6767572188818,101.35774677446629,621217.0
2024-02-28,102.42377362639596,100.9694733433328,102.66484717447346,100.24043923125734,4750154.0
2024-02-29,102.12759890298373,103.41789065312611,104.23362903420045,101.89302698589312,3080925.0
2024-03-01,102.16382455624291,101.43649721519404,102.58213186467252,100.50664243132556,1505988.0
2024-03-04,102.15645807682417,102.0122836245747,102.53710264914592,101.98823319888218,3234839.0
2024-03-05,101.54458864802946,102.25064616766876,102.92131696843055,100.97732006011303,1472123.0
2024-03-06,101.57950333520643,101.83101613109334,102.8371758293843,101.0013639319945,4042523.0
2024-03-07,101.37383255845349,101.47145146677032,102.33927531413376,100.82581622211433,2762577.0
2024-03-08,100.55215900535369,101.87292485697819,103.49753510380206,100.48008864913778,3590179.0
2024-03-11,100.93707090605211,100.3468984480676,101.79303699433916,100.22517242623597,779152.0
2024-03-12,100.77184841916225,101.01079875217026,101.99805398566868,99.97587620611215,590949.0
2024-03-13,100.76651185277383,100.04615946849587,101.12375153256606,99.16557259719217,2471427.0
2024-03-14,101.08276059730913,101.46326945264448,102.1135390549289,100.9149069377066,1976516.0
2024-03-15,100.63389926499246,101.44925368200394,103.34428655878007,99.96736887681139,219912.0
2024-03-18,100.50811143048614,100.26744107009281,101.82080912136492,100.13440210846194,3912669.0
2024-03-19,100.54876441472092,100.23096703910308,101.92905599555048,99.26781737293989,3809431.0
2024-03-20,100.54500036444973,101.13824734462429,101.3140274228641,99.72251349007573,3441380.0
